agency,"Buildings, Land & Capital Construction",Contracts with Governments & Nonprofits,Food & Provisions,Information Technology,"Insurance, Claims & Risk","Marketing, Promotion & Public Information",Medical & Health Services (operational),"Personnel, Training & Memberships","Printing, Postage & Mail",Professional & Contracted Services,"Rent, Leases & Facilities Operations","Roads, Bridges & Highways",Security & Protective Services,"Supplies, Equipment & Materials",Telecommunications & Connectivity,"Testing, Research & Appraisal","Travel, Lodging & Per Diem",Utilities,"Vehicles, Fuel & Fleet"
PROBATION PAROLE & PARDON SERV,0.0,113761.58,0.0,7174397.03,2083262.27,57506.33,46420.94,44205.25,101560.66,1754610.55,185658.56,2264.85,74038.83,1844505.44,2453619.88,29092.64,491358.91,139153.62,5624054.63
PROCUREMENT REVIEW PANEL,0.0,0.0,0.0,29443.54,8133.85,0.0,0.0,0.0,0.0,0.0,15779.029999999999,0.0,891.16,0.0,229.64,0.0,0.0,0.0,0.0
PUBLIC EMPLOYEES BENEFITS AUTH,0.0,153034.57,0.0,6300212.48,507767.47000000003,85635.62,171400.67,40770.0,485210.76,3458804.2,253096.39,75.1,346901.07,72365.5,411305.25,0.0,49891.96,142686.86000000002,2613.43
PUBLIC SERVICE COMMISSION,0.0,0.0,247.5,177110.22,37542.0,22016.97,0.0,32564.0,14944.679999999998,76067.68,21135.47,0.0,0.0,19974.7,28717.87,0.0,138325.16,0.0,131.28
RETIREMENT SYS INVESTMNT COMM,0.0,0.0,0.0,210738.85,65044.94,0.0,0.0,67482.0,994.11,2519426.42,41614.07,0.0,2616.0,85668.38,61743.49,0.0,164630.26,0.0,73.55
REVENUE AND FISCAL AFFAIRS OFF,0.0,585184.0,0.0,1140175.05,115377.09,64.5,0.0,3457.0,3899.39,3722075.17,303744.87,0.0,12472.349999999999,552064.39,4833223.26,332404.64,23499.48,502.68,6188.05
RURAL INFRASTRUCTURE AUTHORITY,0.0,243834.9,0.0,4687.99,14525.0,812.16,0.0,9471.0,0.0,98572.75,1488.23,0.0,0.0,444.48,0.0,0.0,6787.92,0.0,0.0
S C CONSERVATION BANK,54850958.0,39949.69,0.0,33920.59,13969.0,0.0,0.0,25.0,4684.05,47483.26,612.63,0.0,0.0,4388.65,12142.86,0.0,9821.52,0.0,4656.75
S C TRANSP INFRASTRUCTURE BANK,1651303.0,68088.1,0.0,0.0,0.0,0.0,0.0,125.0,0.0,112379.98,6086.37,11171578.76,0.0,779.25,0.0,0.0,1033.1399999999999,0.0,0.0
S C WORKERS' COMPENSATION COMM,0.0,0.0,0.0,538076.26,290650.26,164.44,0.0,10329.0,40563.74,240762.24,61017.72,0.0,17709.75,67411.01,34540.35,0.0,88373.79,0.0,42803.21
SC AERONAUTICS,6314.64,1624.0,18.41,264355.58,156328.84,52848.53,0.0,25178.75,7315.71,1761760.6400000001,26344.56,0.0,0.0,184921.91,33380.58,7500.0,55330.68,38245.45,7280431.44
SC COMM ON PROSECUTION COORDIN,0.0,1624.0,0.0,168654.13999999998,11531.0,2295.91,0.0,4294.32,70.89,73913.47,54593.380000000005,0.0,3907.33,9533.47,3872.27,0.0,18026.47,0.0,197.76
SEA GRANT CONSORTIUM,0.0,1624.0,0.0,61727.2,19824.0,7756.73,660.0,15574.0,18241.309999999998,116476.02,12546.08,0.0,0.0,37098.17,21153.14,0.0,84514.31,8907.09,24561.74
SECRETARY OF STATE,0.0,0.0,0.0,311523.07,35716.2,7512.599999999999,0.0,13446.0,170653.83000000002,111548.85,116248.55,0.0,0.0,42597.14,46844.87,0.0,19336.35,0.0,29846.940000000002
SFAA - AUDITOR'S OFFICE,0.0,0.0,0.0,259183.01,17320.5,11441.53,0.0,31247.75,1506.46,1038372.95,25423.04,0.0,0.0,5561.62,50992.1,0.0,62715.35,0.0,0.0
SOCIAL SERVICES DEPT,19863.67,48965301.33,1352700.49,37027692.04,4630408.77,1872843.33,7163.25,1100285.13,3207727.96,61235824.65,3148852.89,0.0,920427.37,2073441.52,6755303.33,4540.41,1386317.1,22049.52,9104735.75
STATE ACCIDENT FUND,0.0,1624.0,0.0,424506.78,76493741.16,2049.13,0.0,6384.0,52263.06,3511617.1,75200.57,0.0,0.0,23730.93,46561.01,0.0,32163.22,0.0,28.0
STATE COMMISSION FOR MINORITY,0.0,1624.0,108.96,262252.86,21167.1,203336.28,0.0,2697.22,8591.58,71239.03,21807.98,0.0,156.86,57066.91,44295.76,464.6,41152.840000000004,0.0,41170.07
STATE ETHICS COMMISSION,0.0,0.0,0.0,111681.61,58556.0,648.69,0.0,2421.0,26201.73,4269.849999999999,10024.63,0.0,0.0,16795.37,48793.49,0.0,13262.94,0.0,63820.64
STATE FISCAL ACCT AUTHORITY,0.0,6192.3,0.0,2843818.67,203417735.38,1518.65,0.0,39735.44,7486.71,9713433.68,784303.8799999999,0.0,0.0,32288.37,140101.81,708506.0,240834.31,365.65000000000003,17954.56
STATE LIBRARY,0.0,5884.11,0.0,687990.76,33320.97,190831.04,0.0,27256.94,74914.72,177106.63,485492.66000000003,0.0,0.0,501274.8,73714.76,0.0,83018.84,0.0,15017.83
STATE TREASURERS OFFICE,55626.58,114099.72,0.0,615737.43,110384.24,21063.29,0.0,5867.5,9758.83,1091759.87,399357.64,0.0,0.0,102308.95,42503.3,0.0,35252.38,0.0,0.0
TECH & COMP EDUC BD,110021609.36,0.0,0.0,1449869.35,199020.1,447236.52,0.0,212620.27,8684.14,13337124.83,244127.06,0.0,186735.11,2776689.48,193045.39,37632.0,441611.32,224314.8,171988.16
TOBACCO SETTLMNT REV MGMT AUTH,0.0,0.0,0.0,0.0,5010.0,0.0,0.0,0.0,0.0,26700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOCATIONAL REHABILITATION,2367457.9,183478.69,245651.73,2114689.62,720387.9,119767.2,766385.49,71908.6,349385.03,2482238.84,1094953.82,0.0,436761.01,10826489.5,1495137.25,8965.35,1145521.01,1347426.44,688034.16
WIL LOU GRAY OPPORTUN SCH,358202.51999999996,1624.0,214981.64,390520.49,134465.52000000002,483271.28,378.0,12482.71,32909.5,180534.91,122831.49,0.0,35755.44,863785.73,125710.42,29825.79,67930.66,186152.13999999998,170978.38
